name,heat,region,flavor,description,price,rating,creator,video
Habanero Heaven,8,Mexico,fruity,"Sweet and fiery",7.99,4.7,Salsa Roja,https://youtu.be/hab-heaven
Smoky Chipotle,5,USA,smoky,"Smoked jalapeno base",6.50,4.2,Smoke Pit,https://youtu.be/smoky-chipotle
Garlic Serrano,4,USA,garlic,"Vibrant with garlic and citrus",6.00,4.5,Garlic Bros,https://youtu.be/garlic-serrano
Thai Green Bird,7,Thailand,citrus,"Bright lemongrass flavor",7.50,4.6,Bangkok Heat,https://youtu.be/thai-green-bird
Korean Gochujang,6,Korea,fermented,"Slight sweetness and umami",5.50,4.3,Seoul Spice,https://youtu.be/korean-gochujang
Carolina Reaper,10,USA,extra hot,"Extremely spicy, pure heat",8.50,4.8,Heat King,https://youtu.be/carolina-reaper
Mango Scotch Bonnet,6,Jamaica,fruity,"Tropical fruit with scotch bonnet",7.25,4.4,Island Fire,https://youtu.be/mango-scotch-bonnet
Texas BBQ,3,USA,smoky,"Mild heat with smoke and molasses",5.75,4.1,Cowboy Grill,https://youtu.be/texas-bbq
Truffle Fire,4,Italy,earthy,"Truffle infused with mild chili",9.99,4.6,Truffle Masters,https://youtu.be/truffle-fire
Moroccan Harissa,7,Morocco,earthy,"Complex spices and roasted peppers",6.75,4.5,Casablanca Kitchen,https://youtu.be/moroccan-harissa
